model,sensitive_attr,cv_index,outcome,accuracy,0.precision,0.recall,0.f1-score,1.precision,1.recall,1.f1-score,macro avg.precision,macro avg.recall,macro avg.f1-score,weighted avg.precision,weighted avg.recall,weighted avg.f1-score
logistic,none,0,h1n1_vaccine,0.8360164732309996,0.8607787687622362,0.9437157166706416,0.9003412969283277,0.6832214765100671,0.44299390774586594,0.5374868004223865,0.7720001226361517,0.6933548122082538,0.7189140486753571,0.8225883290771479,0.8360164732309996,0.8222956555046425
dtree,none,0,h1n1_vaccine,0.7865967802321228,0.8277861284088469,0.919389458621512,0.871186440677966,0.5065693430656935,0.3020017406440383,0.37840785169029445,0.6671777357372701,0.6106955996327752,0.6247971461841302,0.7586962582554806,0.7865967802321228,0.76519568838541
adaboost,none,0,h1n1_vaccine,0.832459752901535,0.8592592592592593,0.9406153112330073,0.898098599567346,0.6688829787234043,0.43777197563098347,0.5291951604418726,0.7640711189913318,0.6891936434319954,0.7136468800046093,0.8183116092525767,0.832459752901535,0.818751903282215
dtree_untuned,none,0,h1n1_vaccine,0.7521527517783602,0.8474206829740857,0.8344860481755306,0.840903628935352,0.42786479802143446,0.4516971279373368,0.4394580863674852,0.63764274049776,0.6430915880564337,0.6401808576514185,0.7571792543311437,0.7521527517783602,0.7545575172898112
svc,none,0,h1n1_vaccine,0.8354548858105578,0.8627408056042032,0.9398998330550918,0.8996689875584979,0.6744186046511628,0.45430809399477806,0.5429017160686428,0.768579705127683,0.697103963524935,0.7212853518135703,0.8222349634299159,0.8354548858105578,0.8229326350796803
logistic,none,0,seasonal_vaccine,0.7776113815050543,0.7746903247405423,0.8179568752209261,0.795735900962861,0.7813163481953291,0.7321925984878631,0.7559572719802794,0.7780033364679357,0.7750747368543947,0.7758465864715702,0.777807358986495,0.7776113815050543,0.7770231164938929
dtree,none,0,seasonal_vaccine,0.687944590041183,0.6950973807924782,0.7317073170731707,0.7129326674702944,0.6789340101522843,0.6386788698766415,0.6581915111749026,0.6870156954723812,0.6851930934749061,0.6855620893225984,0.6874937584752173,0.687944590041183,0.6871811650797441
adaboost,none,0,seasonal_vaccine,0.7598277798577312,0.7704688593421973,0.7783669141039237,0.7743977492526817,0.7475845410628019,0.7389574214086749,0.7432459475685412,0.7590267002024996,0.7586621677562992,0.7588218484106115,0.759703548253444,0.7598277798577312,0.7597432233013067
dtree_untuned,none,0,seasonal_vaccine,0.6875701984275552,0.6995870612525809,0.7186284906327324,0.708979947689625,0.6732348111658456,0.6526064464783128,0.662760153566377,0.6864109362092132,0.6856174685555225,0.685870050628001,0.6871903550623963,0.6875701984275552,0.6872370905889655
svc,none,0,seasonal_vaccine,0.7766754024709847,0.7723035952063915,0.8200777659950512,0.7954740270872621,0.7822925577416595,0.7278153601273378,0.754071325499897,0.7772980764740255,0.7739465630611946,0.7747726762935796,0.7770026335536637,0.7766754024709847,0.7759972414097915
